exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
16,38,Beginner,Beginner,r1,r2,c1,c1,0.9842738288280829,0.800573875130066,0.98382803740096,0.9545526807422551,0.7392118863049095
16,39,Beginner,Beginner,r1,r2,c1,c1,0.9888818946708267,0.889100462829602,0.9877428642496415,0.9521057869060344,0.6666666666666667
16,43,Beginner,Beginner,r1,r2,c1,c1,0.9860755137549823,0.8658619129644214,0.9829826357926161,0.9445447713991937,0.6143406593406593
16,47,Beginner,Beginner,r1,r2,c1,c1,0.9835272261457455,0.816339477274811,0.9813740814465224,0.9356874591009281,0.73992673992674
16,50,Beginner,Beginner,r1,r2,c1,c1,0.9888277239042453,0.8770640072460395,0.9851788965816526,0.9374813063633165,0.7033317391997449
16,9,Beginner,Beginner,r1,r2,c1,c1,0.9889521457785038,0.8176447888012716,0.9873469200805374,0.9332228497075147,0.7515527950310559
24,30,Beginner,Beginner,r1,r2,c1,c1,0.9850483721790438,0.8706657965580142,0.9834987606107779,0.924203867026989,0.6496062992125984
24,37,Beginner,Beginner,r1,r2,c1,c1,0.9892942973493986,0.9068100328243636,0.9868515941594177,0.9452525635564792,0.6756750624007261
24,38,Beginner,Beginner,r1,r2,c1,c1,0.9864113386062732,0.8910952679349807,0.9864534198832638,0.9170285717193263,0.6486293105867167
24,39,Beginner,Beginner,r1,r2,c1,c1,0.9904361216387912,0.9179246178235101,0.9888444646524136,0.9547288208549768,0.6441737572772056
24,43,Beginner,Beginner,r1,r2,c1,c1,0.9875404281066601,0.9126824168285075,0.9862211815388052,0.9389145544808927,0.6323730232148363
24,47,Beginner,Beginner,r1,r2,c1,c1,0.9869527411857276,0.8910419945592613,0.9845495703651169,0.939108933859882,0.6933002826298476
24,50,Beginner,Beginner,r1,r2,c1,c1,0.9881011640816242,0.9100984107508852,0.9871253479697367,0.9515308000085578,0.6847826086956521
24,9,Beginner,Beginner,r1,r2,c1,c1,0.9886053693355971,0.8821136779840961,0.9848779237479113,0.9394128606988922,0.6678571428571428
25,16,Beginner,Beginner,r1,r2,c2,c2,0.9852042138663187,0.8297533364116029,0.9837006805888818,0.8406077736579219,0.7318283839779005
25,26,Beginner,Beginner,r1,r2,c2,c2,0.9872933277057497,0.8944024480474977,0.9897282063588297,0.9195057408933099,0.7436974789915967
25,29,Beginner,Beginner,r1,r2,c2,c2,0.9882136337521096,0.873927300786292,0.9863414260247192,0.8390306167488619,0.7480349675013857
25,36,Beginner,Beginner,r1,r2,c2,c2,0.9881322259967109,0.837141055706035,0.9847107951397059,0.9444125263958894,0.7108433734939759
25,46,Beginner,Beginner,r1,r2,c2,c2,0.9875749433786515,0.8816276186216231,0.9849890601276592,0.9376705839883333,0.751054852320675
26,24,Beginner,Beginner,r1,r2,c3,c3,0.9870160762147122,0.8912734847661696,0.9848030056347112,0.918212003098852,0.6892857142857143
26,25,Beginner,Beginner,r1,r2,c3,c3,0.9848013087745445,0.853301262732197,0.9832138724566899,0.9396957728365084,0.7587939698492462
26,27,Beginner,Beginner,r1,r2,c3,c3,0.984795439049491,0.870792152025975,0.9830759284521963,0.9458014072793821,0.7254098360655737
26,28,Beginner,Beginner,r1,r2,c3,c3,0.9853868840013859,0.8951326264369394,0.9829853457773715,0.8741111707198441,0.7299270072992701
26,33,Beginner,Beginner,r1,r2,c3,c3,0.9884145377629519,0.8857842013187446,0.986908157359496,0.9388864610200861,0.7046263345195729
26,40,Beginner,Beginner,r1,r2,c3,c3,0.9855277232578048,0.8931253899841575,0.9852020278212844,0.9254994451817123,0.757325746799431
26,41,Beginner,Beginner,r1,r2,c3,c3,0.9870129115693177,0.8378127744601501,0.9850756477653333,0.8905260110105463,0.6586052836052836
26,48,Beginner,Beginner,r1,r2,c3,c3,0.9860217274854018,0.8437936632887334,0.9855157090540465,0.9465869282080128,0.7421105464583726
26,52,Beginner,Beginner,r1,r2,c3,c3,0.9854973727396064,0.9206333176036653,0.9807464853887976,0.9017519800483793,0.7321428571428571
27,30,Beginner,Beginner,r1,r2,c1,c1,0.9856899537279473,0.8898560705231853,0.9854339796443496,0.9344747474924237,0.7584269662921349
27,37,Beginner,Beginner,r1,r2,c1,c1,0.9879647767877755,0.9034833472037149,0.9868439910363539,0.9365370990557481,0.7014921438363387
27,38,Beginner,Beginner,r1,r2,c1,c1,0.9830744824352963,0.8655556894882441,0.9832304112866711,0.9428541178516069,0.7883435582822086
27,39,Beginner,Beginner,r1,r2,c1,c1,0.987531989499966,0.9141127038401161,0.985733370293679,0.9383771209216243,0.627906976744186
