exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
87,77,rectangle,high,low,331.0,0.9403409090909092,Java_high_Java_low_results.csv
123,27,rectangle,high,low,162.0,0.8852459016393442,Java_high_Java_low_results.csv
123,29,rectangle,high,low,173.0,0.9453551912568308,Java_high_Java_low_results.csv
87,208,rectangle,high,low,246.0,0.9389312977099236,Java_high_Java_low_results.csv
123,56,rectangle,high,low,173.0,0.9453551912568308,Java_high_Java_low_results.csv
123,44,rectangle,high,low,175.0,0.9562841530054644,Java_high_Java_low_results.csv
123,65,rectangle,high,low,166.0,0.907103825136612,Java_high_Java_low_results.csv
123,35,rectangle,high,low,175.0,0.9562841530054644,Java_high_Java_low_results.csv
123,43,rectangle,high,low,170.0,0.9289617486338798,Java_high_Java_low_results.csv
123,31,rectangle,high,low,250.0,0.8960573476702509,Java_high_Java_low_results.csv
123,21,rectangle,high,low,291.0,0.917981072555205,Java_high_Java_low_results.csv
123,71,rectangle,high,low,168.0,0.918032786885246,Java_high_Java_low_results.csv
123,60,rectangle,high,low,237.0,0.92578125,Java_high_Java_low_results.csv
123,67,rectangle,high,low,176.0,0.9617486338797814,Java_high_Java_low_results.csv
123,74,rectangle,high,low,161.0,0.8797814207650273,Java_high_Java_low_results.csv
123,41,rectangle,high,low,290.0,0.9119496855345912,Java_high_Java_low_results.csv
87,182,rectangle,high,low,271.0,0.9678571428571427,Java_high_Java_low_results.csv
123,37,rectangle,high,low,192.0,0.8807339449541285,Java_high_Java_low_results.csv
123,34,rectangle,high,low,220.0,0.9090909090909092,Java_high_Java_low_results.csv
87,179,rectangle,high,low,467.0,0.9396378269617708,Java_high_Java_low_results.csv
123,13,rectangle,high,low,233.0,0.9137254901960784,Java_high_Java_low_results.csv
123,94,rectangle,high,low,159.0,0.8688524590163934,Java_high_Java_low_results.csv
123,99,rectangle,high,low,176.0,0.9617486338797814,Java_high_Java_low_results.csv
123,64,rectangle,high,low,333.0,0.902439024390244,Java_high_Java_low_results.csv
123,101,rectangle,high,low,156.0,0.8524590163934426,Java_high_Java_low_results.csv
123,107,rectangle,high,low,185.0,0.8894230769230769,Java_high_Java_low_results.csv
123,63,rectangle,high,low,245.0,0.8718861209964412,Java_high_Java_low_results.csv
123,140,rectangle,high,low,160.0,0.8743169398907104,Java_high_Java_low_results.csv
123,78,rectangle,high,low,205.0,0.8798283261802575,Java_high_Java_low_results.csv
123,124,rectangle,high,low,195.0,0.8944954128440367,Java_high_Java_low_results.csv
123,77,rectangle,high,low,316.0,0.8977272727272727,Java_high_Java_low_results.csv
123,104,rectangle,high,low,254.0,0.8943661971830986,Java_high_Java_low_results.csv
123,164,rectangle,high,low,190.0,0.9004739336492891,Java_high_Java_low_results.csv
123,79,rectangle,high,low,248.0,0.9393939393939394,Java_high_Java_low_results.csv
87,176,rectangle,high,low,451.0,0.8948412698412699,Java_high_Java_low_results.csv
123,126,rectangle,high,low,272.0,0.912751677852349,Java_high_Java_low_results.csv
123,138,rectangle,high,low,160.0,0.8743169398907104,Java_high_Java_low_results.csv
123,180,rectangle,high,low,164.0,0.8961748633879781,Java_high_Java_low_results.csv
178,27,rectangle,high,low,201.0,0.8663793103448276,Java_high_Java_low_results.csv
123,128,rectangle,high,low,228.0,0.9382716049382716,Java_high_Java_low_results.csv
123,200,rectangle,high,low,209.0,0.908695652173913,Java_high_Java_low_results.csv
123,182,rectangle,high,low,248.0,0.8857142857142857,Java_high_Java_low_results.csv
123,162,rectangle,high,low,241.0,0.9128787878787878,Java_high_Java_low_results.csv
178,29,rectangle,high,low,202.0,0.8706896551724138,Java_high_Java_low_results.csv
178,35,rectangle,high,low,207.0,0.8922413793103449,Java_high_Java_low_results.csv
178,13,rectangle,high,low,237.0,0.9294117647058824,Java_high_Java_low_results.csv
178,65,rectangle,high,low,217.0,0.9353448275862069,Java_high_Java_low_results.csv
123,186,rectangle,high,low,212.0,0.925764192139738,Java_high_Java_low_results.csv
