exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
80,176,vehicle,high,low,373.0,0.9142156862745098,Java_high_Java_low_results.csv
82,27,vehicle,high,low,219.0,0.876,Java_high_Java_low_results.csv
80,182,vehicle,high,low,371.0,0.9275,Java_high_Java_low_results.csv
69,179,vehicle,high,low,328.0,0.856396866840731,Java_high_Java_low_results.csv
80,101,vehicle,high,low,825.0,0.9504608294930876,Java_high_Java_low_results.csv
69,182,vehicle,high,low,362.0,0.905,Java_high_Java_low_results.csv
82,10,vehicle,high,low,194.0,0.776,Java_high_Java_low_results.csv
82,56,vehicle,high,low,205.0,0.82,Java_high_Java_low_results.csv
82,34,vehicle,high,low,219.0,0.876,Java_high_Java_low_results.csv
82,65,vehicle,high,low,212.0,0.848,Java_high_Java_low_results.csv
82,29,vehicle,high,low,206.0,0.824,Java_high_Java_low_results.csv
69,101,vehicle,high,low,729.0,0.8398617511520737,Java_high_Java_low_results.csv
82,74,vehicle,high,low,204.0,0.816,Java_high_Java_low_results.csv
82,31,vehicle,high,low,219.0,0.8295454545454546,Java_high_Java_low_results.csv
82,37,vehicle,high,low,228.0,0.8837209302325582,Java_high_Java_low_results.csv
82,78,vehicle,high,low,213.0,0.852,Java_high_Java_low_results.csv
82,43,vehicle,high,low,258.0,0.8896551724137931,Java_high_Java_low_results.csv
82,35,vehicle,high,low,232.0,0.8754716981132076,Java_high_Java_low_results.csv
82,63,vehicle,high,low,228.0,0.8769230769230769,Java_high_Java_low_results.csv
82,44,vehicle,high,low,259.0,0.8839590443686007,Java_high_Java_low_results.csv
82,41,vehicle,high,low,267.0,0.8018018018018018,Java_high_Java_low_results.csv
82,94,vehicle,high,low,217.0,0.868,Java_high_Java_low_results.csv
82,60,vehicle,high,low,245.0,0.8006535947712419,Java_high_Java_low_results.csv
82,114,vehicle,high,low,212.0,0.848,Java_high_Java_low_results.csv
82,21,vehicle,high,low,304.0,0.8587570621468926,Java_high_Java_low_results.csv
82,139,vehicle,high,low,197.0,0.788,Java_high_Java_low_results.csv
82,99,vehicle,high,low,276.0,0.9324324324324323,Java_high_Java_low_results.csv
82,172,vehicle,high,low,206.0,0.824,Java_high_Java_low_results.csv
82,140,vehicle,high,low,212.0,0.848,Java_high_Java_low_results.csv
82,79,vehicle,high,low,254.0,0.8193548387096774,Java_high_Java_low_results.csv
