exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
37,93,5,low,none,0.9928051220915846,0.6701818615085033,0.9903822234470697,0.9320536664523749,0.6666666666666667
37,110,5,low,none,0.9927389364387146,0.706033026949328,0.9893707474502541,0.9170815544545924,0.631578947368421
37,96,5,low,none,0.991215267482239,0.7402111373877249,0.9869110310500694,0.8648553390701702,0.6071428571428572
37,181,5,low,none,0.9933439399302428,0.7628364175874112,0.9911306488377207,0.8751905569751103,0.625
37,163,5,low,none,0.9916777161579321,0.6739630034798128,0.9894051135252803,0.901192475050954,0.6296296296296298
35,196,5,low,none,0.9884149952181664,0.7179787211302375,0.9836952530117579,0.8753430102920996,0.5330668604651163
37,204,5,low,none,0.9913718709838938,0.5636165539536782,0.9866481396008582,0.8840010823688819,0.5622605363984674
37,189,5,low,none,0.993204391022004,0.7195546950401519,0.9915519295417503,0.8907036728287705,0.6071428571428572
37,201,5,low,none,0.9928248240174732,0.6638639406503108,0.9894580885066848,0.9344231506716443,0.6190476190476191
37,154,5,low,none,0.993330422035998,0.6908330547346875,0.991286741197573,0.8963773838351915,0.584349593495935
37,211,5,low,none,0.9933488014648701,0.7566453521572319,0.9919176715488807,0.8706091674328352,0.6044089147286822
41,3,5,low,none,0.9943926651339713,0.6704271150501864,0.9926212907998483,0.9197171529300793,0.7017543859649122
41,28,5,low,none,0.994215483779879,0.7148605199374107,0.9914037400463277,0.9522610623703528,0.6326530612244898
41,12,5,low,none,0.9936421730852103,0.659173562544342,0.9929056869346746,0.9161919332592239,0.6666666666666667
41,5,5,low,none,0.994574227399819,0.7123074247472312,0.9932429691545666,0.943922099405085,0.701851851851852
41,36,5,low,none,0.9938124057982993,0.6569778832130471,0.9931797492391706,0.9344582310119474,0.6609195402298851
41,30,5,low,none,0.9936401196515249,0.646972723011445,0.992593192204303,0.9299306055893827,0.7231800766283525
